state,date,sex,ethnicity,annual_birth,annual_death
Sarawak,2022-01-01,both,overall,30937,16627
Selangor,2000-01-01,both,overall,91635,12706
Selangor,2001-01-01,both,overall,87758,13368
Selangor,2002-01-01,both,overall,89735,13922
Selangor,2003-01-01,both,overall,89933,14295
Selangor,2004-01-01,both,overall,93176,14616
Selangor,2005-01-01,both,overall,92456,15371
Selangor,2006-01-01,both,overall,94737,15695
Selangor,2007-01-01,both,overall,97055,15903
Selangor,2008-01-01,both,overall,100284,17649
Selangor,2009-01-01,both,overall,103023,18373
Selangor,2010-01-01,both,overall,98429,18558
Selangor,2011-01-01,both,overall,103686,19352
Selangor,2012-01-01,both,overall,107946,21020
Selangor,2013-01-01,both,overall,103173,21677
Selangor,2014-01-01,both,overall,108932,22647
Selangor,2015-01-01,both,overall,108131,23804
Selangor,2016-01-01,both,overall,104661,25588
Selangor,2017-01-01,both,overall,103987,26733
Selangor,2018-01-01,both,overall,102125,27387
Selangor,2019-01-01,both,overall,98836,27786
Selangor,2020-01-01,both,overall,93577,25405
Selangor,2021-01-01,both,overall,90118,42051
Selangor,2022-01-01,both,overall,83658,32861
Terengganu,2000-01-01,both,overall,24833,4570
Terengganu,2001-01-01,both,overall,24060,4866
Terengganu,2002-01-01,both,overall,23205,5051
Terengganu,2003-01-01,both,overall,22269,5346
Terengganu,2004-01-01,both,overall,22542,5244
Terengganu,2005-01-01,both,overall,21966,5368
Terengganu,2006-01-01,both,overall,21907,5407
Terengganu,2007-01-01,both,overall,22366,5563
Terengganu,2008-01-01,both,overall,23339,5774
Terengganu,2009-01-01,both,overall,23887,5978
Terengganu,2010-01-01,both,overall,24262,5864
Terengganu,2011-01-01,both,overall,24776,6209
Terengganu,2012-01-01,both,overall,25698,6177
Terengganu,2013-01-01,both,overall,25465,6424
Terengganu,2014-01-01,both,overall,27013,6460
Terengganu,2015-01-01,both,overall,27629,6715
Terengganu,2016-01-01,both,overall,27521,6843
Terengganu,2017-01-01,both,overall,27911,7048
Terengganu,2018-01-01,both,overall,28242,7099
Terengganu,2019-01-01,both,overall,27085,7341
Terengganu,2020-01-01,both,overall,27177,6736
Terengganu,2021-01-01,both,overall,26337,8469
Terengganu,2022-01-01,both,overall,25304,8686
W.P. Kuala Lumpur,2000-01-01,both,overall,29382,5492
W.P. Kuala Lumpur,2001-01-01,both,overall,27211,5746
W.P. Kuala Lumpur,2002-01-01,both,overall,25928,6058
W.P. Kuala Lumpur,2003-01-01,both,overall,25173,5888
W.P. Kuala Lumpur,2004-01-01,both,overall,24892,5750
W.P. Kuala Lumpur,2005-01-01,both,overall,23544,5635
W.P. Kuala Lumpur,2006-01-01,both,overall,24067,5791
W.P. Kuala Lumpur,2007-01-01,both,overall,24936,6015
W.P. Kuala Lumpur,2008-01-01,both,overall,25178,6164
W.P. Kuala Lumpur,2009-01-01,both,overall,25870,6470
W.P. Kuala Lumpur,2010-01-01,both,overall,24471,6465
W.P. Kuala Lumpur,2011-01-01,both,overall,25525,6927
W.P. Kuala Lumpur,2012-01-01,both,overall,26982,6996
W.P. Kuala Lumpur,2013-01-01,both,overall,25333,7183
W.P. Kuala Lumpur,2014-01-01,both,overall,27100,7647
W.P. Kuala Lumpur,2015-01-01,both,overall,25789,7608
W.P. Kuala Lumpur,2016-01-01,both,overall,25739,8077
W.P. Kuala Lumpur,2017-01-01,both,overall,24732,8205
W.P. Kuala Lumpur,2018-01-01,both,overall,24235,8485
W.P. Kuala Lumpur,2019-01-01,both,overall,23921,8845
W.P. Kuala Lumpur,2020-01-01,both,overall,23199,8334
W.P. Kuala Lumpur,2021-01-01,both,overall,21046,13334
W.P. Kuala Lumpur,2022-01-01,both,overall,19853,9962
W.P. Labuan,2000-01-01,both,overall,1495,167
W.P. Labuan,2001-01-01,both,overall,1486,159
W.P. Labuan,2002-01-01,both,overall,1466,200
W.P. Labuan,2003-01-01,both,overall,1584,220
W.P. Labuan,2004-01-01,both,overall,1513,212
W.P. Labuan,2005-01-01,both,overall,1509,209
W.P. Labuan,2006-01-01,both,overall,1587,208
W.P. Labuan,2007-01-01,both,overall,1581,204
W.P. Labuan,2008-01-01,both,overall,1680,243
W.P. Labuan,2009-01-01,both,overall,1656,247
W.P. Labuan,2010-01-01,both,overall,1631,243
W.P. Labuan,2011-01-01,both,overall,1734,218
W.P. Labuan,2012-01-01,both,overall,1773,242
W.P. Labuan,2013-01-01,both,overall,1743,245
W.P. Labuan,2014-01-01,both,overall,1871,274
W.P. Labuan,2015-01-01,both,overall,1953,246
W.P. Labuan,2016-01-01,both,overall,1752,277
W.P. Labuan,2017-01-01,both,overall,1685,247
W.P. Labuan,2018-01-01,both,overall,1691,287
W.P. Labuan,2019-01-01,both,overall,1678,298
W.P. Labuan,2020-01-01,both,overall,1714,319
W.P. Labuan,2021-01-01,both,overall,1522,517
W.P. Labuan,2022-01-01,both,overall,1374,392
W.P. Putrajaya,2010-01-01,both,overall,2430,95
W.P. Putrajaya,2011-01-01,both,overall,2956,113
W.P. Putrajaya,2012-01-01,both,overall,3150,142
W.P. Putrajaya,2013-01-01,both,overall,2972,164
W.P. Putrajaya,2014-01-01,both,overall,3064,194
W.P. Putrajaya,2015-01-01,both,overall,2869,193
W.P. Putrajaya,2016-01-01,both,overall,2569,163
W.P. Putrajaya,2017-01-01,both,overall,2517,229
W.P. Putrajaya,2018-01-01,both,overall,2400,218
W.P. Putrajaya,2019-01-01,both,overall,2316,209
W.P. Putrajaya,2020-01-01,both,overall,2143,211
W.P. Putrajaya,2021-01-01,both,overall,2106,266
W.P. Putrajaya,2022-01-01,both,overall,1839,253
